month,unlocked,restricted,rewardCeiling,expectedSell,pressure,depth,coverage,requiredDepth,gap
35,2093518.5185185159,500000,13166666.666666666,464675.92592592514,127785.87962962943,606030.3038033001,4.742545150996333,153343.0555555553,0
36,2093518.5185185205,500000,13500000,464675.9259259264,127785.87962962978,606030.3038033001,4.74254515099632,153343.05555555574,0
37,1491666.666666666,0,13791666.666666666,330416.6666666665,90864.5833333333,606030.3038033001,6.66959866618329,109037.49999999996,0
38,1491666.666666666,0,14083333.333333334,330416.6666666665,90864.5833333333,606030.3038033001,6.66959866618329,109037.49999999996,0
39,1491666.666666668,0,14375000,330416.666666667,90864.58333333343,606030.3038033001,6.66959866618328,109037.50000000012,0
40,1491666.666666668,0,14666666.666666666,330416.666666667,90864.58333333343,606030.3038033001,6.66959866618328,109037.50000000012,0
41,1491666.6666666642,0,14958333.333333334,330416.66666666605,90864.58333333317,606030.3038033001,6.669598666183299,109037.4999999998,0
42,1491666.666666668,0,15250000,330416.666666667,90864.58333333343,606030.3038033001,6.66959866618328,109037.50000000012,0
43,1291666.666666668,0,15541666.666666666,260416.66666666698,71614.58333333343,606030.3038033001,8.462386787653344,85937.50000000012,0
44,1291666.6666666642,0,15833333.333333332,260416.66666666605,71614.58333333317,606030.3038033001,8.462386787653374,85937.4999999998,0
45,1291666.666666668,0,16125000,260416.66666666698,71614.58333333343,606030.3038033001,8.462386787653344,85937.50000000012,0
46,1291666.666666668,0,16416666.666666668,260416.66666666698,71614.58333333343,606030.3038033001,8.462386787653344,85937.50000000012,0
47,1291666.6666666642,0,16708333.333333332,260416.66666666605,71614.58333333317,606030.3038033001,8.462386787653374,85937.4999999998,0
48,1291666.666666668,0,17000000,260416.66666666698,71614.58333333343,606030.3038033001,8.462386787653344,85937.50000000012,0
49,0,0,17250000,0,0,606030.3038033001,"",0,0
50,0,0,17500000,0,0,606030.3038033001,"",0,0
51,0,0,17750000,0,0,606030.3038033001,"",0,0
52,0,0,18000000,0,0,606030.3038033001,"",0,0
53,0,0,18250000,0,0,606030.3038033001,"",0,0
54,0,0,18500000,0,0,606030.3038033001,"",0,0
55,0,0,18750000,0,0,606030.3038033001,"",0,0
56,0,0,19000000,0,0,606030.3038033001,"",0,0
57,0,0,19250000,0,0,606030.3038033001,"",0,0
58,0,0,19500000,0,0,606030.3038033001,"",0,0
59,0,0,19750000,0,0,606030.3038033001,"",0,0
60,0,0,20000000,0,0,606030.3038033001,"",0,0
