"eventId","day","participantId","cohortId","action","originProject","destinationProject","requestedAmount","unit","executedAmount","sharesBurned","sharesMinted","gross","net","feesCCLX","currency","provenance","status","rejectionReason","capitalNew","capitalRecycled","cannibalizedCapital"
"e49","18","u00201","restricted_user","deposit","wallet","forest","23.594722248942546","CCLX","23.594722248942546","0","21.124797471798956","23.594722248942546","23.54753280444466","0.04718944449788509","CCLX","restricted","executed","","23.594722248942546","0",""
"e50","19","u00263","active_user","deposit","wallet","mangrove","72.80941722618336","CCLX","72.80941722618336","0","73.76764834532514","72.80941722618336","72.66379839173099","0.1456188344523667","CCLX","unrestricted","executed","","72.80941722618336","0",""
"e51","19","u00212","long_term","deposit","wallet","forest","45.84021242686737","CCLX","45.84021242686737","0","41.04146482446231","45.84021242686737","45.74853200201363","0.09168042485373473","CCLX","unrestricted","executed","","45.84021242686737","0",""
"e52","19","u00242","rebalancer","deposit","wallet","solar","37.32162588813913","CCLX","37.32162588813913","0","31.298337844666094","37.32162588813913","37.24698263636285","0.07464325177627826","CCLX","unrestricted","executed","","37.32162588813913","0",""
"e53","19","u00261","long_term","deposit","wallet","solar","203.05346679491248","CCLX","203.05346679491248","0","170.28178150765598","203.05346679491248","202.64735986132266","0.40610693358982497","CCLX","unrestricted","executed","","203.05346679491248","0",""
"e54","19","u00171","rebalancer","deposit","wallet","solar","206.8077843103325","CCLX","206.8077843103325","0","173.42816978879273","206.8077843103325","206.39416874171184","0.413615568620665","CCLX","unrestricted","executed","","206.8077843103325","0",""
"e59","20","u00270","rebalancer","deposit","wallet","solar","52.32322378378376","CCLX","52.32322378378376","0","43.87772293575108","52.32322378378376","52.21857733621619","0.10464644756756752","CCLX","unrestricted","executed","","52.32322378378376","0",""
"e60","21","u00191","long_term","deposit","wallet","solar","183.4890291702741","CCLX","183.4890291702741","0","153.871009666007","183.4890291702741","183.12205111193356","0.3669780583405482","CCLX","unrestricted","executed","","183.4890291702741","0",""
"e61","21","u00026","rebalancer","deposit","wallet","mangrove","55.50097855401246","CCLX","55.50097855401246","0","56.230859976494685","55.50097855401246","55.38997659690444","0.11100195710802492","CCLX","unrestricted","executed","","55.50097855401246","0",""
"e62","23","u00201","restricted_user","deposit","wallet","forest","63.08845664367942","CCLX","63.08845664367942","0","56.48379326961003","63.08845664367942","62.96227973039206","0.12617691328735883","CCLX","restricted","executed","","63.08845664367942","0",""
"e63","23","u00033","whale","deposit","wallet","solar","258.3018358136309","CCLX","258.3018358136309","0","216.60515376599506","258.3018358136309","257.7852321420036","0.5166036716272617","CCLX","unrestricted","executed","","258.3018358136309","0",""
"e66","23","u00205","active_user","deposit","wallet","forest","207.0918863295744","CCLX","207.0918863295744","0","185.40924311196432","207.0918863295744","206.67770255691525","0.4141837726591488","CCLX","unrestricted","executed","","207.0918863295744","0",""
"e67","24","u00027","long_term","deposit","wallet","mangrove","51.64573343796157","CCLX","51.64573343796157","0","52.324482887052","51.64573343796157","51.542441971085644","0.10329146687592314","CCLX","unrestricted","executed","","51.64573343796157","0",""
"e68","24","u00168","restricted_user","deposit","wallet","solar","167.52031985345687","CCLX","167.52031985345687","0","140.47646639915183","167.52031985345687","167.18527921374996","0.3350406397069137","CCLX","restricted","executed","","167.52031985345687","0",""
"e69","24","u00058","active_user","deposit","wallet","forest","95.48753015686162","CCLX","95.48753015686162","0","85.48868263396434","95.48753015686162","95.2965550965479","0.19097506031372324","CCLX","unrestricted","executed","","95.48753015686162","0",""
"e70","24","u00163","rebalancer","deposit","wallet","solar","283.3317093882806","CCLX","283.3317093882806","0","237.5886796945706","283.3317093882806","282.76504596950406","0.5666634187765612","CCLX","unrestricted","executed","","283.3317093882806","0",""
"e72","25","u00192","active_user","deposit","wallet","solar","66.98844705647271","CCLX","66.98844705647271","0","56.17281450424343","66.98844705647271","66.85447016235976","0.13397689411294542","CCLX","unrestricted","executed","","66.98844705647271","0",""
"e73","25","u00147","active_user","deposit","wallet","forest","209.53803843764746","CCLX","209.53803843764746","0","187.59378888388164","209.53803843764746","209.11896236077217","0.4190760768752949","CCLX","unrestricted","executed","","209.53803843764746","0",""
"e75","25","u00227","rebalancer","deposit","wallet","solar","75.74895790729786","CCLX","75.74895790729786","0","63.518639880698174","75.74895790729786","75.59745999148326","0.15149791581459573","CCLX","unrestricted","executed","","75.74895790729786","0",""
"e76","26","u00253","active_user","deposit","wallet","forest","60.065676379929975","CCLX","60.065676379929975","0","53.77449132082984","60.065676379929975","59.94554502717011","0.12013135275985995","CCLX","unrestricted","executed","","60.065676379929975","0",""
"e77","27","u00172","rebalancer","deposit","wallet","solar","157.3829808030523","CCLX","157.3829808030523","0","131.97128352615982","157.3829808030523","157.0682148414462","0.3147659616061046","CCLX","unrestricted","executed","","157.3829808030523","0",""
